name,curr_price,old_price,prod_link,discount,rating,brand
"Maxmo Twin Tub Washing Machine, White & Green - 8Kgs",17005,21000.0,https://www.jumia.co.ke/home-office-appliances//generic-maxmo-twin-tub-washing-machine-white-green-8kgs-313090780.html,19%,4.5,maxmo
Hisense WSRB113W - 11kg Twin Tub Washing Machine - White   (2YRs WRTY),28499,36000.0,https://www.jumia.co.ke/home-office-appliances//hisense-wsrb113w-11kg-twin-tub-washing-machine-white-2yrs-wrty-86415814.html,21%,4.3,hisense
Haier 8kg Full Automatic Top Loader Washing Machines - HWM80-1269S6,33999,42695.0,https://www.jumia.co.ke/home-office-appliances//haier-8kg-full-automatic-top-loader-washing-machines-hwm80-1269s6-170472856.html,20%,4.4,haier
Ramtons RW/116 - Twin Tub 10Kg Washer - White (1YR WRTY),32399,39690.0,https://www.jumia.co.ke/home-office-appliances//ramtons-rw116-twin-tub-10kg-washer-white-1yr-wrty-4852954.html,18%,4.6,ramtons
Midea MA200W80/G Top Loader Washing Machine 8KG - Grey,32195,46395.0,https://www.jumia.co.ke/home-office-appliances//midea-ma200w80g-top-loader-washing-machine-8kg-grey-277735044.html,31%,4.4,midea
Hisense WSBE701 7kg Twin Tub Washing Machine - White  (2YRs WRTY),18300,31000.0,https://www.jumia.co.ke/home-office-appliances//hisense-wsbe701-7kg-twin-tub-washing-machine-white-2yrs-wrty-50301924.html,41%,4.5,hisense
Ramtons RM/458 - Digital Glass Microwave (1YR WRTY),8964,11800.0,https://www.jumia.co.ke/home-office-appliances//ramtons-rm458-digital-glass-microwave-1yr-wrty-177871846.html,24%,4.5,ramtons
"VON VAMS-20MGX - Manual Microwave Oven, Solo - 20L-Black(1YR WRTY)",7099,11995.0,https://www.jumia.co.ke/home-office-appliances//von-vams-20mgx-manual-microwave-oven-solo-20l-black1yr-wrty-284853024.html,41%,4.3,von
Em 20Ltrs Microwave Oven High Quality Microwaves With Warranty 20L001,6911,9999.0,https://www.jumia.co.ke/home-office-appliances//em-20ltrs-microwave-oven-high-quality-microwaves-with-warranty-20l001-318639283.html,31%,4.0,em
Ramtons RM/550 - 23 Litres Microwave+Grill - Black (1YR WRTY),12349,14995.0,https://www.jumia.co.ke/home-office-appliances//ramtons-rm550-23-litres-microwavegrill-black-1yr-wrty-421292.html,18%,4.7,ramtons
Nunix 20L Digital Microwave Oven With Grill  C20PG Silver,9499,12999.0,https://www.jumia.co.ke/home-office-appliances//nunix-20l-digital-microwave-oven-with-grill-c20pg-silver-282705799.html,27%,4.4,nunix
Nunix 20L Microwave Oven With Grill C2OUG Silver,9744,13050.0,https://www.jumia.co.ke/home-office-appliances//nunix-20l-microwave-oven-with-grill-c2oug-silver-286977722.html,25%,4.7,nunix
"Mika MMWMSKH2012B - Microwave, 20L, Manual - Black",8495,11395.0,https://www.jumia.co.ke/home-office-appliances//mika-mmwmskh2012b-microwave-20l-manual-black-43904554.html,25%,4.4,mika
Nunix Microwave Oven 20L  With Manual Setting Function C20MX1,7599,9500.0,https://www.jumia.co.ke/home-office-appliances//nunix-microwave-oven-20l-with-manual-setting-function-c20mx1-153991563.html,20%,5.0,nunix
Nunix Microwave  20L Manual With Grill  C20UG,9399,12999.0,https://www.jumia.co.ke/home-office-appliances//nunix-microwave-20l-manual-with-grill-c20ug-288485716.html,28%,4.0,nunix
AILYONS LMO-2004 20L Electric Home Microwave Oven-MICR OWAVE OVEN- 1100W-Silver(1YR WRTY),7899,14599.0,https://www.jumia.co.ke/home-office-appliances//ailyons-lmo-2004-20l-electric-home-microwave-oven-micr-owave-oven-1100w-silver1yr-wrty-305671967.html,46%,0.0,ailyons
"Ramtons RM/458 - Digital Glass Microwave, 700W - 20L -Black & Silver",11800,,https://www.jumia.co.ke/home-office-appliances//ramtons-rm458-digital-glass-microwave-700w-20l-black-silver-23427463.html,,4.6,ramtons
Hisense 20L Digital Microwave Oven - Black    H20MOBS11  (2YRs WRTY),9299,15000.0,https://www.jumia.co.ke/home-office-appliances//hisense-20l-digital-microwave-oven-black-h20mobs11-2yrs-wrty-116429387.html,38%,4.4,hisense
"Haier HMW20MB Analog Microwave Oven 700W, 20L - Black.",8499,10395.0,https://www.jumia.co.ke/home-office-appliances//haier-hmw20mb-analog-microwave-oven-700w-20l-black.-95922980.html,18%,4.4,haier
"Smart Pro Microwave Oven 20L Digital, Black - (SMV-20L-V2 )(1YR WRTY)",7999,12500.0,https://www.jumia.co.ke/home-office-appliances//smart-pro-microwave-oven-20l-digital-black-smv-20l-v2-1yr-wrty-296688393.html,36%,5.0,smart
